,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,YearsInCurrentRole,YearsSinceLastPromotion
69,Yes,36,Travel_Rarely,Research & Development,9,3,Medical,Male,Research Scientist,3,Married,3388,0,Yes,17,0,0
70,No,59,Travel_Frequently,Sales,1,1,Life Sciences,Female,Sales Executive,3,Single,5473,7,No,11,3,1
71,No,29,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,2,Married,2703,0,No,23,4,0
72,No,31,Travel_Rarely,Research & Development,1,4,Medical,Male,Research Scientist,2,Single,2501,1,No,17,1,1
73,No,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Research Scientist,2,Married,6220,1,No,17,4,0
74,No,36,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,4,Married,3038,3,No,12,0,0
75,No,31,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,Manufacturing Director,4,Single,4424,1,No,23,7,1
76,No,35,Travel_Rarely,Sales,1,4,Marketing,Male,Sales Executive,1,Single,4312,0,No,14,13,2
77,No,45,Travel_Rarely,Research & Development,6,4,Other,Male,Research Director,1,Married,13245,4,Yes,14,0,0
78,No,37,Travel_Rarely,Research & Development,7,4,Medical,Male,Research Director,3,Single,13664,4,No,13,2,0
79,No,46,Travel_Rarely,Human Resources,5,2,Medical,Male,Human Resources,2,Divorced,5021,8,Yes,22,2,0
80,No,30,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,Laboratory Technician,4,Married,5126,1,Yes,12,8,3
81,No,35,Travel_Rarely,Research & Development,1,3,Medical,Male,Research Scientist,3,Single,2859,1,No,18,4,0
82,No,55,Travel_Rarely,Sales,1,2,Life Sciences,Male,Sales Executive,4,Married,10239,3,No,14,0,1
83,No,38,Non-Travel,Research & Development,6,3,Medical,Female,Research Scientist,4,Divorced,5329,7,Yes,12,11,1
84,No,34,Travel_Rarely,Research & Development,1,2,Medical,Male,Manufacturing Director,2,Married,4325,1,No,15,2,1
85,No,56,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,4,Single,7260,4,No,11,4,0
86,No,23,Travel_Rarely,Sales,2,1,Technical Degree,Male,Sales Representative,1,Divorced,2322,3,No,13,0,0
87,No,51,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,4,Married,2075,3,No,23,2,0
88,No,30,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Healthcare Representative,4,Married,4152,1,No,19,10,10
89,Yes,46,Travel_Rarely,Sales,9,2,Medical,Male,Sales Executive,4,Single,9619,1,No,16,8,4
90,No,40,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,2,Married,13503,1,No,22,3,11
91,No,51,Travel_Rarely,Sales,21,4,Marketing,Male,Sales Executive,4,Single,5441,0,Yes,22,7,1
92,No,30,Travel_Rarely,Sales,4,2,Medical,Female,Sales Executive,2,Divorced,5209,1,Yes,12,8,2
93,No,46,Travel_Frequently,Research & Development,1,3,Medical,Male,Healthcare Representative,1,Married,10673,2,Yes,13,9,9
94,No,32,Travel_Rarely,Sales,6,4,Medical,Male,Sales Executive,3,Single,5010,1,No,16,8,5
95,No,54,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,Research Director,3,Married,13549,9,No,12,3,0
96,No,24,Travel_Rarely,Sales,3,2,Other,Female,Sales Executive,3,Married,4999,0,No,21,2,0
97,No,28,Non-Travel,Sales,4,3,Medical,Male,Sales Executive,3,Married,4221,1,No,15,4,0
98,No,58,Travel_Rarely,Sales,10,4,Medical,Male,Sales Executive,3,Single,13872,0,No,13,10,1
99,No,44,Non-Travel,Research & Development,23,3,Medical,Male,Laboratory Technician,2,Married,2042,4,No,12,2,1
100,Yes,37,Travel_Rarely,Human Resources,6,4,Human Resources,Male,Human Resources,1,Divorced,2073,4,Yes,22,2,0
101,No,32,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,Research Scientist,1,Single,2956,1,No,13,0,0
102,Yes,20,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,4,Single,2926,1,Yes,18,0,1
103,No,34,Travel_Rarely,Research & Development,6,4,Other,Female,Research Scientist,3,Single,4809,1,No,14,13,2
104,No,37,Non-Travel,Research & Development,2,2,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,5,No,14,0,0
105,No,59,Non-Travel,Human Resources,2,4,Human Resources,Female,Manager,4,Married,18844,9,No,21,2,2
106,No,50,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,Research Director,2,Married,18172,3,Yes,19,3,0
107,Yes,25,Travel_Rarely,Sales,5,3,Marketing,Male,Sales Executive,3,Single,5744,1,Yes,11,4,0
108,No,25,Travel_Rarely,Research & Development,7,1,Medical,Male,Research Scientist,4,Married,2889,1,No,11,2,2
109,No,22,Travel_Rarely,Research & Development,15,3,Medical,Female,Laboratory Technician,4,Single,2871,1,No,15,0,0
110,No,51,Travel_Frequently,Research & Development,1,4,Medical,Female,Healthcare Representative,1,Single,7484,3,No,20,12,12
111,Yes,34,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,3,Single,6074,1,Yes,24,7,0
112,No,54,Non-Travel,Human Resources,26,3,Human Resources,Female,Manager,4,Single,17328,2,Yes,12,3,4
113,No,24,Travel_Rarely,Research & Development,18,1,Life Sciences,Male,Laboratory Technician,3,Married,2774,0,No,12,3,1
114,No,34,Travel_Rarely,Research & Development,6,4,Life Sciences,Female,Research Scientist,2,Divorced,4505,6,No,15,0,0
115,No,37,Travel_Rarely,Sales,3,3,Life Sciences,Male,Sales Executive,4,Single,7428,2,No,12,3,1
116,No,34,Travel_Rarely,Research & Development,5,3,Medical,Female,Manager,1,Single,11631,2,No,12,10,5
117,No,36,Travel_Frequently,Sales,11,2,Technical Degree,Female,Sales Executive,4,Married,9738,0,No,14,7,2
118,No,36,Travel_Rarely,Research & Development,3,2,Life Sciences,Female,Laboratory Technician,4,Divorced,2835,5,No,22,0,0
119,No,43,Travel_Frequently,Sales,26,2,Life Sciences,Male,Manager,4,Married,16959,1,Yes,12,12,4
120,No,30,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,Research Scientist,3,Divorced,2613,1,No,25,7,0
121,No,33,Non-Travel,Sales,22,2,Marketing,Male,Sales Executive,2,Married,6146,0,No,13,7,0
122,Yes,56,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,Research Scientist,2,Married,4963,9,Yes,18,4,4
123,No,51,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,Research Director,3,Single,19537,7,No,13,18,15
124,Yes,31,Travel_Rarely,Sales,6,4,Life Sciences,Male,Sales Executive,3,Married,6172,4,Yes,18,7,7
125,No,26,Travel_Rarely,Research & Development,6,3,Other,Female,Research Scientist,2,Married,2368,1,No,19,4,4
126,Yes,58,Travel_Rarely,Research & Development,23,4,Medical,Female,Healthcare Representative,4,Married,10312,1,No,12,10,15
127,Yes,19,Travel_Rarely,Sales,22,1,Marketing,Male,Sales Representative,3,Single,1675,1,Yes,19,0,0
128,No,22,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,4,Married,2523,0,No,14,1,2
129,No,49,Travel_Rarely,Research & Development,20,4,Medical,Female,Manufacturing Director,1,Married,6567,1,No,14,11,5
130,No,43,Travel_Frequently,Research & Development,28,3,Medical,Female,Research Scientist,3,Single,4739,4,No,12,2,1
131,No,50,Travel_Frequently,Sales,12,3,Marketing,Female,Sales Executive,4,Single,9208,4,No,11,2,2
132,Yes,31,Travel_Rarely,Sales,20,3,Life Sciences,Female,Sales Executive,3,Married,4559,3,Yes,11,2,2
133,No,41,Travel_Rarely,Sales,9,1,Life Sciences,Male,Sales Executive,3,Divorced,8189,3,Yes,13,7,0
134,No,26,Travel_Rarely,Human Resources,25,1,Life Sciences,Female,Human Resources,3,Married,2942,1,No,23,7,5
135,No,36,Travel_Rarely,Research & Development,6,2,Medical,Male,Manufacturing Director,2,Divorced,4941,6,No,20,2,0
136,Yes,51,Travel_Frequently,Research & Development,8,4,Life Sciences,Male,Manufacturing Director,4,Single,10650,2,No,15,2,0
137,No,39,Travel_Rarely,Sales,4,4,Life Sciences,Female,Sales Executive,3,Married,5902,4,No,14,11,5
138,No,25,Travel_Rarely,Sales,28,3,Life Sciences,Male,Sales Executive,3,Married,8639,2,No,18,2,2
139,No,30,Travel_Rarely,Human Resources,9,3,Human Resources,Male,Human Resources,4,Married,6347,0,Yes,19,9,4
140,Yes,32,Travel_Rarely,Research & Development,9,3,Medical,Female,Laboratory Technician,1,Single,4200,7,No,22,4,0
141,No,45,Travel_Rarely,Research & Development,29,3,Medical,Male,Research Scientist,4,Single,3452,5,No,13,5,0
142,No,38,Travel_Rarely,Research & Development,3,5,Technical Degree,Female,Research Scientist,3,Single,4317,3,Yes,20,2,2
143,No,30,Travel_Rarely,Research & Development,18,3,Life Sciences,Female,Research Scientist,3,Single,2632,1,No,14,4,0
144,No,32,Travel_Frequently,Sales,9,2,Medical,Male,Sales Executive,4,Divorced,4668,0,No,17,7,0
145,No,30,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,Research Scientist,1,Divorced,3204,5,No,14,2,2
146,No,30,Travel_Rarely,Research & Development,2,1,Medical,Male,Laboratory Technician,4,Single,2720,0,No,13,3,1
147,No,41,Travel_Frequently,Research & Development,10,3,Life Sciences,Male,Manager,1,Divorced,17181,4,No,13,6,7
148,No,41,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,1,Married,2238,2,No,21,0,1
149,No,19,Travel_Rarely,Research & Development,3,1,Medical,Female,Laboratory Technician,2,Single,1483,1,No,14,0,0
150,No,40,Travel_Frequently,Research & Development,26,3,Medical,Female,Research Scientist,2,Divorced,5605,1,No,11,7,2
151,No,35,Travel_Rarely,Sales,1,5,Marketing,Male,Sales Executive,2,Married,7295,1,No,13,8,0
152,No,53,Travel_Rarely,Sales,6,2,Marketing,Male,Sales Representative,3,Married,2306,2,Yes,20,7,4
153,No,45,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,8,No,18,9,0
154,No,32,Travel_Frequently,Sales,8,3,Marketing,Female,Sales Executive,4,Single,8998,1,No,14,8,3
155,No,29,Non-Travel,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,3,Married,4319,1,No,13,7,0
156,No,51,Travel_Rarely,Research & Development,7,4,Medical,Male,Manufacturing Director,3,Married,6132,2,No,17,0,0
157,No,58,Travel_Rarely,Research & Development,9,3,Medical,Female,Research Scientist,2,Married,3346,4,Yes,20,0,0
158,No,40,Travel_Rarely,Sales,4,4,Marketing,Male,Sales Executive,4,Married,10855,7,No,11,11,2
159,No,34,Travel_Frequently,Sales,2,4,Marketing,Female,Sales Representative,3,Married,2231,6,No,18,3,1
160,No,22,Travel_Rarely,Research & Development,19,1,Medical,Male,Research Scientist,4,Married,2323,1,No,24,2,2
161,No,27,Non-Travel,Research & Development,9,3,Medical,Male,Research Scientist,2,Divorced,2024,6,No,18,2,2
162,No,28,Travel_Rarely,Research & Development,21,3,Medical,Male,Research Scientist,4,Married,2713,1,No,11,2,0
163,No,57,Travel_Rarely,Research & Development,24,2,Life Sciences,Male,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,1
164,No,27,Non-Travel,Research & Development,3,3,Medical,Male,Research Scientist,3,Divorced,2566,1,Yes,15,1,0
165,No,50,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,Manager,2,Single,19926,3,No,15,4,4
166,No,41,Travel_Rarely,Research & Development,14,3,Life Sciences,Male,Research Scientist,3,Divorced,2451,4,No,12,8,1
167,No,30,Travel_Rarely,Sales,5,3,Life Sciences,Female,Sales Executive,4,Married,9419,2,No,12,9,7
168,No,38,Travel_Rarely,Sales,1,4,Life Sciences,Female,Sales Executive,4,Single,8686,4,No,22,3,0
169,No,32,Travel_Rarely,Research & Development,6,5,Life Sciences,Male,Research Scientist,3,Single,3038,3,No,20,4,1
170,No,27,Travel_Rarely,Research & Development,17,3,Technical Degree,Male,Research Scientist,2,Married,3058,0,Yes,16,2,1
171,Yes,19,Travel_Frequently,Sales,1,1,Technical Degree,Female,Sales Representative,1,Single,2325,0,No,21,0,0
172,No,36,Travel_Frequently,Research & Development,3,2,Medical,Male,Laboratory Technician,2,Single,2088,4,No,12,7,7
173,No,30,Non-Travel,Research & Development,9,3,Medical,Male,Laboratory Technician,1,Divorced,3072,1,No,11,9,6
174,No,45,Travel_Rarely,Sales,4,2,Life Sciences,Female,Sales Executive,1,Divorced,5006,4,Yes,11,4,0
175,No,56,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,Research Scientist,1,Divorced,4257,4,Yes,18,2,2
176,No,33,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Scientist,4,Single,2500,0,No,14,1,0
177,Yes,19,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Laboratory Technician,4,Single,1102,1,No,22,0,1
178,No,46,Travel_Rarely,Sales,1,2,Marketing,Female,Sales Executive,1,Divorced,10453,1,No,25,13,15
179,No,38,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,Laboratory Technician,4,Single,2288,1,No,12,2,2
180,No,31,Travel_Rarely,Research & Development,12,1,Medical,Female,Research Scientist,4,Married,3929,8,Yes,23,2,0
181,No,34,Travel_Rarely,Research & Development,27,2,Medical,Female,Research Scientist,2,Single,2311,2,No,15,2,1
182,Yes,41,Travel_Rarely,Sales,20,2,Marketing,Female,Sales Representative,2,Single,3140,1,Yes,22,3,0
183,No,50,Travel_Rarely,Research & Development,1,3,Medical,Male,Laboratory Technician,3,Married,3690,2,No,15,2,0
184,No,53,Travel_Rarely,Research & Development,13,2,Medical,Female,Manufacturing Director,1,Divorced,4450,1,No,11,2,1
185,No,33,Travel_Rarely,Research & Development,14,3,Medical,Female,Research Scientist,2,Married,2756,1,No,13,7,1
186,No,40,Travel_Rarely,Research & Development,4,1,Medical,Female,Manager,3,Married,19033,1,No,14,8,9
187,No,55,Travel_Rarely,Research & Development,14,4,Medical,Male,Research Director,2,Single,18722,8,No,11,15,2
188,No,34,Travel_Frequently,Research & Development,2,1,Life Sciences,Male,Manufacturing Director,3,Married,9547,1,No,17,9,1
189,No,51,Travel_Rarely,Research & Development,3,3,Medical,Female,Healthcare Representative,2,Single,13734,3,No,18,7,1
190,No,52,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,Manager,3,Married,19999,0,No,14,18,11
191,No,27,Travel_Rarely,Research & Development,9,3,Medical,Female,Research Scientist,2,Single,2279,1,No,16,7,0
192,Yes,35,Travel_Rarely,Research & Development,23,2,Life Sciences,Male,Manufacturing Director,3,Married,5916,3,Yes,13,0,0
193,No,43,Non-Travel,Research & Development,7,3,Medical,Male,Research Scientist,4,Divorced,2089,4,No,14,4,2
194,No,45,Non-Travel,Research & Development,2,2,Medical,Male,Manager,4,Married,16792,9,No,23,8,11
195,No,37,Travel_Rarely,Research & Development,21,3,Life Sciences,Male,Research Scientist,1,Married,3564,1,Yes,12,7,1
196,No,35,Travel_Frequently,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Single,4425,5,No,11,2,1
197,No,42,Non-Travel,Research & Development,21,2,Medical,Female,Manufacturing Director,3,Divorced,5265,2,No,16,3,0
198,No,38,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,3,Married,6553,9,No,14,0,0
199,No,38,Travel_Rarely,Research & Development,29,3,Technical Degree,Male,Manufacturing Director,4,Married,6261,3,No,18,7,1
200,No,27,Travel_Frequently,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,1,Married,4298,5,No,19,2,2
201,No,49,Non-Travel,Research & Development,18,4,Life Sciences,Male,Manufacturing Director,4,Divorced,6804,1,Yes,15,7,1
202,No,34,Travel_Frequently,Research & Development,10,4,Medical,Male,Research Scientist,3,Divorced,3815,1,Yes,17,3,2
203,No,40,Travel_Rarely,Research & Development,19,2,Medical,Male,Laboratory Technician,4,Married,2741,8,Yes,15,2,3
204,Yes,38,Travel_Rarely,Research & Development,29,1,Medical,Male,Healthcare Representative,1,Married,6673,7,Yes,19,0,0
205,Yes,29,Travel_Rarely,Sales,27,3,Marketing,Female,Sales Executive,4,Married,7639,1,No,22,4,1
206,No,22,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,Research Scientist,2,Divorced,2328,1,Yes,16,2,2
207,No,36,Travel_Frequently,Research & Development,18,1,Medical,Female,Laboratory Technician,4,Single,2153,1,No,13,1,1
208,No,40,Non-Travel,Research & Development,9,5,Life Sciences,Male,Healthcare Representative,4,Married,4876,9,No,14,2,0
209,No,46,Travel_Rarely,Research & Development,1,4,Medical,Male,Healthcare Representative,1,Divorced,9396,7,No,16,2,0
210,Yes,32,Travel_Rarely,Sales,4,4,Medical,Male,Sales Executive,4,Married,10400,1,No,11,8,9
211,No,30,Non-Travel,Research & Development,1,1,Life Sciences,Male,Manufacturing Director,3,Single,8474,1,No,22,8,5
212,No,27,Travel_Frequently,Sales,20,3,Life Sciences,Female,Sales Executive,3,Single,9981,1,No,14,7,0
213,No,51,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,Research Director,2,Married,12490,5,No,16,9,4
214,Yes,30,Travel_Rarely,Research & Development,3,3,Technical Degree,Female,Research Scientist,1,Single,2657,5,Yes,11,2,0
215,No,41,Travel_Rarely,Sales,6,3,Life Sciences,Female,Manager,4,Single,13591,3,Yes,18,0,0
216,Yes,30,Travel_Frequently,Sales,26,4,Marketing,Female,Sales Executive,1,Single,6696,5,No,15,3,0
217,Yes,29,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,Research Scientist,3,Single,2058,0,No,14,2,1
218,No,45,Non-Travel,Sales,6,3,Medical,Female,Sales Executive,4,Single,8865,6,No,12,7,12
219,No,54,Travel_Rarely,Sales,3,3,Marketing,Female,Sales Executive,1,Married,5940,2,No,14,2,0
220,No,36,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,Laboratory Technician,2,Single,5914,8,No,16,11,3
221,No,33,Travel_Rarely,Research & Development,4,4,Medical,Female,Research Scientist,2,Married,2622,6,No,21,2,1
222,No,37,Travel_Frequently,Research & Development,11,3,Other,Male,Research Director,4,Divorced,12185,1,Yes,14,8,0
223,No,38,Travel_Rarely,Sales,3,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,0,No,12,10,5
224,No,31,Non-Travel,Research & Development,1,4,Medical,Male,Manufacturing Director,3,Married,4345,0,No,12,4,1
225,No,59,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,Research Scientist,4,Married,2177,3,No,17,0,0
226,No,37,Travel_Frequently,Sales,4,4,Marketing,Male,Sales Representative,4,Divorced,2793,4,No,17,8,5
227,No,29,Travel_Frequently,Sales,1,1,Medical,Female,Sales Executive,4,Married,7918,1,No,14,10,4
228,No,35,Travel_Frequently,Sales,1,3,Marketing,Female,Sales Executive,3,Single,8789,1,No,14,7,0
229,Yes,29,Travel_Rarely,Research & Development,18,1,Medical,Male,Research Scientist,4,Single,2389,1,Yes,13,3,0
